wallet,ens_name,holdings,twitter_handle,twitter_url,farcaster,farcaster_url,fc_fid,fc_followers,priority_score,lens,github,source
0x96168acf7f3925e7a9eaa08ddb21e59643da8097,,,geaux_eth,https://x.com/geaux_eth,geaux.eth,https://warpcast.com/geaux.eth,282520,7779,3.89,,,neynar
0x0fc0f78fc939606db65f5bbf2f3715262c0b2f6e,starl3xx.eth,,starl3xx,https://x.com/starl3xx,starl3xx.eth,https://warpcast.com/starl3xx.eth,,6302,3.80,starl3xx.lens,0xjoshua,graph
0x700ea8ebb5be42899856bd4a8129aebd23086eb9,,,alekkabak3,https://x.com/alekkabak3,bas83,https://warpcast.com/bas83,446885,916,2.96,,,neynar
0xdabc594e331f3cc74d97da9c2ad3cab557bc3fbb,goji.eth,,charizardeeth,https://x.com/charizardeeth,charizardx,https://farcaster.xyz/charizardx,245306,878,2.94,,,"neynar,web3bio"
0x337ce7a22145ca794d5b64a1eb87607ce35f317c,,,antification,https://x.com/antification,antification.eth,https://warpcast.com/antification.eth,240602,630,2.80,,,neynar
0xaebd5fcfe9894d3cc67829c8088d5e999a9fe99c,,,thangnd217,https://x.com/thangnd217,thangnd,https://warpcast.com/thangnd,267392,403,2.61,,,neynar
0xc2ed3e4fd2a0259041463e6ceda9288eed27fc38,,,,,titin.base.eth,https://warpcast.com/titin.base.eth,1123933,69,1.85,,,neynar
0xc2f5f219b8e429f85dc4d3575fc704f85178bbb4,,,,,nikitazing.base.eth,https://warpcast.com/nikitazing.base.eth,1451242,35,1.56,,,neynar
0x84d5e34ad1a91cf2ecad071a65948fa48f1b4216,,,,,,,,,0.30,,,
0x6db955a067a8cff457617c6c779367d77a9bd8b9,,,,,,,,,0.30,,,
0xea70790d1247bf21fbe4f652f5ee899be0e3c5d6,,,,,,,,,0.30,,,
0x3fa81ba31bd375b28c5783b8531f26631b46202f,,,,,,,,,0.30,,,
0x121f349cdc45fd174d7c51134f1a06f0fefd98b6,,,,,,,,,0.30,,,
0x2dcce04416ec8fad376b733fac16cfb03cfb189e,,,,,,,,,0.30,,,
0xd7655e4255bb6c2e3ca036593b0236c46b904db6,,,,,,,,,0.30,,,
0xe463e91b5ac588e24ac810d403795f08f86822d9,,,,,,,,,0.30,,,
0xff1d5218f24c68d8227116bf05f081a57007b312,,,,,,,,,0.30,,,
0x8d2c8d17683ef3f8afe289e70c36d09444159ea3,,,,,,,,,0.30,,,
0xf5c4f3dc02c3fb9279495a8fef7b0741da956157,,,,,,,,,0.30,,,
0x6137779f6ee0ac9e7aa9dbe0a149cc07bb4b990f,,,,,,,,,0.30,,,
0x6911340d182b260f18f960a1a38b3b33356f7941,,,,,,,,,0.30,,,
0xecd64a937f230370c429bf857d5944705244778c,,,,,,,,,0.30,,,
0x92661b3641d175ce6add0fd79517863b0b041b38,,,,,,,,,0.30,,,
0xcf39748e6ae142c0c37c188a8758bc306e347f6a,,,,,,,,,0.30,,,
0x03ad9259a227e44886c6b1c1833c2e79379b976a,,,,,,,,,0.30,,,
0xbd2895dc008c31ba7b2e9177ebec4e7b048acb86,tombradyofnfts.eth,,christmasdali,https://x.com/christmasdali,christmasdali,https://farcaster.xyz/christmasdali,,,0.30,,,web3bio
0x6523d180fbe67271c78161b6cd1ebc98738afa3f,,,,,,,,,0.30,,,
0xb51ff2f65b935142aab32abefa1c0e29a4161d31,etherismm.eth,,,,,,,,0.30,,,web3bio
0x1548cc39abb89e5e8b8742ee856f3f759a073117,,,,,,,,,0.30,,,
0x5e8d7d056941c63ff710c4e8faa652b9304a2aec,,,,,,,,,0.30,,,
0xcfe4c36ae09666a7f8cb93aba02e9a01085f2914,,,,,,,,,0.30,,,
0x83087b80e0ffac23200b5e5293eb8a34b0f63f8d,,,,,,,,,0.30,,,
0x9897b49174dc565730ef1d116d80081574ccb3ec,,,,,,,,,0.30,,,
0x5d1714c6e2a169e0caec53bcb627cb6b688c0f3b,,,,,,,,,0.30,,,
0x498581ff718922c3f8e6a244956af099b2652b2b,,,,,,,,,0.30,,,
0x868ecb871cbf0be3a35742ac89ed0eac5b0a496e,,,,,,,,,0.30,,,
0x2cffed5d56eb6a17662756ca0fdf350e732c9818,,,,,,,,,0.30,,,
0x67ad1c4f3cf95c11b1bf1e98a73c0b68a1028582,,,,,,,,,0.30,,,
0x0a9ee7ea0205e02ffb0fd137307ac9061e13a1ae,,,,,,,,,0.30,,,
0xbaaaf0fcbb071d8d4bc23c524e5210cc9fc2259e,,,,,,,,,0.30,,,
0xfc26cd7bd7a3a1f88260d8b0b3fcce5d5c7619eb,,,,,,,,,0.30,,,
0x2fc55de23c6063ff7ac77ca30498aa010bbd1c09,,,,,,,,,0.30,,,
0x49fffc81f8c2b07f1962c95476918e6bf239db20,,,,,,,,,0.30,,,
0x6d685a6dd69427d9b57ebdc9da6b226cf8afdb2e,,,,,,,,,0.30,,,
0x5f17f9bec0868e499d613f5c06a20ae8582d4788,,,,,,,,,0.30,,,
0x147cf09e7373b8fda6f12021f1b0f98d6da1a566,,,,,,,,,0.30,,,
0xc57ba5a24e3d915619e8954457be657fd9cf7e16,,,,,,,,,0.30,,,
0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,,,,,,,,,0.30,,,
0x5aafc1f252d544f744d17a4e734afd6efc47ede4,,,,,,,,,0.30,,,
0xad01c20d5886137e056775af56915de824c8fce5,,,,,,,,,0.30,,,
0xf50bbd2c77956ec6513023ef11feba72df3d6922,,,,,,,,,0.30,,,
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,,,,,,,,,0.30,,,
